persona,domain,scale,mean,sd,cv,min,max,range,n_models
ENFP,Conscientiousness,IPIP-NEO-120,2.938745,0.26813816489824793,0.0912424061625789,2.4417,3.4,0.9582999999999999,20
ENFP,Machiavellianism,SD3,1.7111050000000003,0.3016033711267167,0.1762623399070873,1.2444,2.3333,1.0889,20
ENFP,Narcissism,SD3,4.189995,0.234269602114743,0.055911666270423474,3.8889,4.6444,0.7555000000000001,20
ENFP,Psychopathy,SD3,2.093339999999999,0.2930202303596118,0.13997737126296345,1.5556,2.7556,1.1999999999999997,20
ENFP,Activity,ZKPQ-50-CC,0.826,0.07017121917139535,0.0849530498443043,0.7,0.92,0.22000000000000008,20
ENFP,Aggression-Hostility,ZKPQ-50-CC,0.347,0.14060938802227965,0.405214374703976,0.1,0.8,0.7000000000000001,20
ENFP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,1.0,0.0,0.0,1.0,1.0,0.0,20
ENFP,Neuroticism-Anxiety,ZKPQ-50-CC,0.45999999999999996,0.1129601699715435,0.2455655868946598,0.26,0.64,0.38,20
ENFP,Sociability,ZKPQ-50-CC,0.999,0.004358898943540678,0.004363262205746424,0.98,1.0,0.020000000000000018,20
ENFP,Psychoticism,EPQR-A,0.45832999999999996,0.07370398971561852,0.16080987436043578,0.3333,0.6,0.2667,20
ENFP,Extraversion,EPQR-A,1.0,0.0,0.0,1.0,1.0,0.0,20
ENFP,Neuroticism,EPQR-A,0.5766649999999999,0.13296336440914844,0.23057297461983728,0.3333,0.8333,0.5,20
