subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,DeepSeek-V4-Flash,ENTJ,ENTJ,0.39875244470572996,0.36999031271385124,True,ENTJ,0.042530850195943826,0.191835759528189,True,ENTJ,0.5373248872055002,0.25333699020419687,True
all,DeepSeek-V4-Pro,ISTJ,ISTJ,0.15154434900632818,0.5590995962760804,True,ISTJ,0.012483285898322372,0.3087127980358336,True,ISTJ,0.3317774952812117,0.4053598331556747,True
all,DeepSeek-V4-Pro,ISFJ,ISFJ,0.25429762849214593,0.37287151011085745,True,ISFJ,0.03253300593385544,0.21436747735514994,True,ISFJ,0.4870922821234371,0.22001454796844438,True
all,DeepSeek-V4-Pro,INFJ,INFJ,0.2643364498164607,0.3664820226463758,True,INFJ,0.03778397787831378,0.20294437045823788,True,INFJ,0.5081898328620904,0.3964397044612724,True
all,DeepSeek-V4-Pro,INTJ,INTJ,0.31781604729838203,0.5147405553732918,True,INTJ,0.047198891130547094,0.38051784547357803,True,INTJ,0.5623111319579436,0.3874209931159497,True
all,DeepSeek-V4-Pro,ISTP,ISTP,0.21742915191797732,0.4001984353045446,True,ISTP,0.03841707671915684,0.2569017712324445,True,ISTP,0.5389269122101318,0.28861027296355957,True
all,DeepSeek-V4-Pro,ISFP,ISFP,0.2745539940975609,0.2810366972436303,True,ISFP,0.041203245131683164,0.05741868872580769,True,ISFP,0.5756310063659413,0.10953584312378828,True
all,DeepSeek-V4-Pro,INFP,INFP,0.2770256004264531,0.09427935272162918,True,INFP,0.02188453407026847,0.05373089283858368,True,INFP,0.504828458007283,0.09127902040679448,True
all,DeepSeek-V4-Pro,INTP,INTP,0.26832018139588254,0.24097676343173435,True,INTP,0.049883429890620334,0.1559747136203501,True,INTP,0.5417745401368582,0.29466661949057593,True
all,DeepSeek-V4-Pro,ESTP,ESTP,0.28203398378174527,0.3065620295304,True,ESTP,0.022770047490700662,0.09723126904435642,True,ESTP,0.4848416538232284,0.2257547878516909,True
all,DeepSeek-V4-Pro,ESFP,ESFP,0.3830250911614745,0.23852529892684676,True,ESFP,0.09604107657299443,0.11052292567331834,True,ESFP,0.7664546065866736,0.047665627477016526,True
all,DeepSeek-V4-Pro,ENFP,ENFP,0.2957514947095409,0.3433222228761671,True,ENFP,0.042459596292724555,0.19607023983698668,True,ENFP,0.596503093358283,0.06414973208878694,True
all,DeepSeek-V4-Pro,ENTP,ENTP,0.3986713004122912,0.23191446225344708,True,ENTP,0.04893925861354853,0.08116928696279291,True,ENTP,0.71810208734367,0.2331463143223842,True
all,DeepSeek-V4-Pro,ESTJ,ESTJ,0.23237362149452448,0.37782532090126153,True,ESTJ,0.02052152643059657,0.20369982644195506,True,ESTJ,0.4527947038506726,0.24779641198827224,True
all,DeepSeek-V4-Pro,ESFJ,ESFJ,0.2929705619880121,0.339979254895746,True,ESFJ,0.06096151785624104,0.24261727885111195,True,ESFJ,0.5126484363671863,0.3534273164366051,True
all,DeepSeek-V4-Pro,ENFJ,ENFJ,0.35731932888354856,0.25470400229077195,True,ENFJ,0.0953850853704673,0.19911043058697164,True,ENFJ,0.6909386368156505,0.18894887176729003,True
all,DeepSeek-V4-Pro,ENTJ,ENTJ,0.28208429963513293,0.37081833260807084,True,ENTJ,0.045543420035370485,0.17970610474438675,True,ENTJ,0.5493777027265379,0.15421068585476627,True
all,GLM-4.6V,ISTJ,ISTJ,0.270678661193199,0.48324102614386594,True,ISTJ,0.030770929968950367,0.25011482829026277,True,ISTJ,0.582623454026221,0.22006693898449647,True
all,GLM-4.6V,ISFJ,ISFJ,0.23054903236997995,0.5160155961213152,True,ISFJ,0.02876887355849933,0.27889877173364885,True,ISFJ,0.5125398504399425,0.3656023472884018,True
